Comment,Designator,Footprint,LCSC Part #
1u,"C1,C4,C5,C6,C7,C8",C_0805_2012Metric,
10u,"C2,C3,C15",CP_Radial_D5.0mm_P2.00mm,
22p,"C9,C10",C_0805_2012Metric,
22n,"C11,C12",C_0805_2012Metric,
220n,"C13,C14",C_0805_2012Metric,
470u,C16,CP_Radial_D10.0mm_P5.00mm,
100n,C17,C_0805_2012Metric,
LED,D1,LED_D5.0mm,
SMBJ15A,D2,D_SMB,C19077569
Polyfuse,F1,Fuse_1812_4532Metric,C702820
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
Screw_Terminal_01x02,"J2,J3,J4",TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,
22,"R1,R2",R_0805_2012Metric,
5.1k,"R3,R4",R_0805_2012Metric,
1k,R5,R_0805_2012Metric,
47k,"R6,R18,R19",R_0805_2012Metric,
1M,R7,R_0805_2012Metric,
1.5k,R8,R_0805_2012Metric,
3.3k,"R9,R10,R11",R_0805_2012Metric,
330,"R12,R13",R_0805_2012Metric,
10k,"R14,R15",R_0805_2012Metric,
2.7k,"R16,R17",R_0805_2012Metric,
4.7k,R20,R_0805_2012Metric,
SW_Push,"SW1,SW2,SW3",SW_TS-1005B_2PinMapped,C2856783
LD1117S33TR_SOT223,U1,SOT-223-3_TabPin2,
PCM2704CDBR,U2,SSOP-28_5.3x10.2mm_P0.65mm,
TDA7297,U3,TO-220-15_P2.54x5.08mm_StaggerOdd_Lead4.58mm_Vertical,C96009
CH221K,U4,SOT-23-6,
12M,Y1,Crystal_SMD_3225_2PinMapped,
